name,affiliation,homepage,scholarid,orcid
Daniel A. Spielman,Yale University,http://www.cs.yale.edu/homes/spielman,L82mYv8AAAAJ,0000-0002-8958-879X
Daniel Rakita,Yale University,https://cpsc.yale.edu/people/daniel-rakita,1Y-cnCUAAAAJ,0000-0000-0000-0000
David Gelernter,Yale University,http://cpsc.yale.edu/people/david-gelernter,NOSCHOLARPAGE,0000-0000-0000-0000
Dawei Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangdw,NOSCHOLARPAGE,0009-0001-2807-1068
Deng Cai 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/dengcai,vzxDyJoAAAAJ,0000-0001-9817-4065
Deren Chen,Zhejiang University,http://mypage.zju.edu.cn/0073012,NOSCHOLARPAGE,0000-0000-0000-0000
Deshi Ye,Zhejiang University,https://person.zju.edu.cn/en/dye,NOSCHOLARPAGE,0000-0000-0000-0000
Donghui Wang,Zhejiang University,http://mypage.zju.edu.cn/wdh,AkRWtMUAAAAJ,0000-0000-0000-0000
Dongming Lu,Zhejiang University,http://mypage.zju.edu.cn/ldm,NOSCHOLARPAGE,0000-0000-0000-0000
Drew McDermott,Yale University,http://www.cs.yale.edu/~dvm,NOSCHOLARPAGE,0000-0000-0000-0000
Drew V. McDermott,Yale University,http://www.cs.yale.edu/~dvm,NOSCHOLARPAGE,0000-0000-0000-0000
Duanqing Xu,Zhejiang University,http://mypage.zju.edu.cn/0092050,NOSCHOLARPAGE,0000-0001-5311-3728
