name,affiliation,homepage,scholarid,orcid
Jakub Szefer,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/jakub-szefer,NO1Je2kAAAAJ,0000-0001-9721-3640
James Aspnes,Yale University,http://www.cs.yale.edu/homes/aspnes,1HYDaVIAAAAJ,0000-0001-6188-1663
Jiajun Bu,Zhejiang University,http://mypage.zju.edu.cn/bjj,OgZP2okAAAAJ,0000-0002-1097-2044
Jian Liu 0012,Zhejiang University,https://person.zju.edu.cn/0019840,-T_UNHwAAAAJ,0000-0001-6796-6828
Jian Wu 0001,Zhejiang University,http://mypage.zju.edu.cn/0004274,VO9XIXYAAAAJ,0000-0002-3230-6392
Jian-Ling Sun,Zhejiang University,https://person.zju.edu.cn/en/sunjl,NOSCHOLARPAGE,0000-0000-0000-0000
Jianke Zhu,Zhejiang University,http://mypage.zju.edu.cn/jkzhu,SC-WmzwAAAAJ,0000-0003-1831-0106
Jianling Sun,Zhejiang University,https://person.zju.edu.cn/en/sunjl,NOSCHOLARPAGE,0000-0001-8799-6020
Jianwei Yin,Zhejiang University,http://mypage.zju.edu.cn/0001038,0s1A5fwAAAAJ,0000-0003-4703-7348
Jin Huang 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/hj/index.xml,KLgK108AAAAJ,0000-0002-2549-6810
Jinfei Liu,Zhejiang University,https://person.zju.edu.cn/0020162,kqAPqYAAAAAJ,0000-0003-2921-2827
Jinsong Han,Zhejiang University,https://person.zju.edu.cn/hanjinsong,BST50KwAAAAJ,0000-0003-1832-2641
Joan Feigenbaum,Yale University,http://www.cs.yale.edu/~jf,IAeKTGsAAAAJ,0000-0002-3735-6022
John D. Lafferty,Yale University,https://statistics.yale.edu/people/john-lafferty,NOSCHOLARPAGE,0000-0000-0000-0000
John Lafferty,Yale University,https://statistics.yale.edu/people/john-lafferty,NOSCHOLARPAGE,0000-0000-0000-0000
Julie Dorsey,Yale University,http://graphics.cs.yale.edu/julie,IYXVU-QAAAAJ,0000-0003-2495-4979
Jun Xiao 0001,Zhejiang University,http://mypage.zju.edu.cn/junx,fqOwFhQAAAAJ,0000-0000-0000-0000
