name,affiliation,homepage,scholarid,orcid
Leandros Tassiulas,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/leandros-tassiulas,9qtgcZ8AAAAJ,0000-0000-0000-0000
Lei Wu 0012,Zhejiang University,https://person.zju.edu.cn/lei_wu,xOVpf1sAAAAJ,0000-0003-1675-5283
Li Lu 0008,Zhejiang University,https://person.zju.edu.cn/lynnluli,mQSqGYAAAAAJ,0000-0001-5230-3749
Lidan Shou,Zhejiang University,http://mypage.zju.edu.cn/should,0OlITuIAAAAJ,0000-0001-8062-8356
Lin Chen 0009,Zhejiang University,https://person.zju.edu.cn/0024110,a0DapS0AAAAJ,0000-0003-3909-4916
Lin Zhong 0001,Yale University,https://cpsc.yale.edu/people/lin-zhong,hJPN-G8AAAAJ,0000-0003-0840-167X
Linchao Zhu,Zhejiang University,https://person.zju.edu.cn/en/linchao,9ZukE28AAAAJ,0000-0002-4093-7557
Ling Chen 0001,Zhejiang University,http://mypage.zju.edu.cn/lc,Vxi9eakAAAAJ,0000-0003-1934-5992
Lingfeng Bao,Zhejiang University,https://baolingfeng.github.io,RMJI97QAAAAJ,0000-0003-1846-0921
Lingyun Sun,Zhejiang University,http://mypage.zju.edu.cn/sly,zzW8d-wAAAAJ,0000-0002-5561-0493
Liqiang Lu,Zhejiang University,http://person.zju.edu.cn/liqianglu,wvpFjh0AAAAJ,0000-0002-3801-6847
Lu Chen 0001,Zhejiang University,https://person.zju.edu.cn/luchen,gLOpEaIAAAAJ,0000-0002-5685-7017
