name,affiliation,homepage,scholarid,orcid
Manolis Zampetakis,Yale University,https://mzampet.com,tBAp1-gAAAAJ,0009-0005-4967-5927
Marynel Vázquez,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/marynel-vazquez,-wm8urcAAAAJ,0000-0000-0000-0000
Michael J. Fischer,Yale University,http://www.cs.yale.edu/~fischer,mnq4vRgAAAAJ,0000-0000-0000-0000
Min Tang 0001,Zhejiang University,http://give.zju.edu.cn/memberHomepage/TangMin.html,E1RM9OUAAAAJ,0009-0006-0493-3459
Min Yao,Zhejiang University,http://mypage.zju.edu.cn/myao,NOSCHOLARPAGE,0000-0000-0000-0000
Ming-Min Zhang,Zhejiang University,http://mypage.zju.edu.cn/0095045,NOSCHOLARPAGE,0000-0000-0000-0000
Ming-min Zhang,Zhejiang University,http://mypage.zju.edu.cn/0095045,NOSCHOLARPAGE,0000-0000-0000-0000
Mingli Song,Zhejiang University,http://mypage.zju.edu.cn/msong,7oLbhAwAAAAJ,0000-0003-2621-6048
Mingmin Zhang,Zhejiang University,http://mypage.zju.edu.cn/0095045,NOSCHOLARPAGE,0000-0000-0000-0000
Mingshuai Chen,Zhejiang University,https://fiction-zju.github.io/author/mingshuai-chen,n7odC-EAAAAJ,0000-0001-9663-7441
Mingxue Zhang 0001,Zhejiang University,https://zhangmx1997.github.io,73M-epsAAAAJ,0000-0001-8863-8751
