name,affiliation,homepage,scholarid,orcid
Sahand N. Negahban,Yale University,http://www.stat.yale.edu/~snn7,3p-KQUwAAAAJ,0000-0000-0000-0000
Sahand Negahban,Yale University,http://www.stat.yale.edu/~snn7,3p-KQUwAAAAJ,0000-0000-0000-0000
Sai Wu,Zhejiang University,http://mypage.zju.edu.cn/en/wusai,RMaqDKAAAAAJ,0000-0002-1866-9197
Shanping Li,Zhejiang University,https://person.zju.edu.cn/en/0087125,NOSCHOLARPAGE,0000-0003-2615-9792
Shijian Li,Zhejiang University,http://mypage.zju.edu.cn/lishijian,NOSCHOLARPAGE,0000-0000-0000-0000
Shouling Ji,Zhejiang University,http://person.zju.edu.cn/sji,5HoF_9oAAAAJ,0000-0003-4268-372X
Shuibing He,Zhejiang University,https://shuibing9420.github.io,bVzOI38AAAAJ,0000-0002-7075-4153
ShuiGuang Deng,Zhejiang University,http://mypage.zju.edu.cn/shuiguang,txbuN0YAAAAJ,0000-0001-5015-6095
Shuiguang Deng,Zhejiang University,http://mypage.zju.edu.cn/shuiguang,txbuN0YAAAAJ,0000-0001-5015-6095
Shuming Gao,Zhejiang University,http://mypage.zju.edu.cn/smgao,QZBgwvsAAAAJ,0000-0000-0000-0000
Siliang Tang,Zhejiang University,http://mypage.zju.edu.cn/siliang,8e7H3PcAAAAJ,0000-0002-7356-9711
Siwei Tan,Zhejiang University,http://person.zju.edu.cn/tansiwei,Wj7H4EUAAAAJ,0000-0002-0634-8089
Smita Krishnaswamy,Yale University,https://medicine.yale.edu/genetics/people/smita_krishnaswamy.profile,l2Pr9m8AAAAJ,0000-0000-0000-0000
Song Li 0006,Zhejiang University,https://songli.io,BBPDISIAAAAJ,0000-0002-7961-8502
Steven W. Zucker,Yale University,http://www.cs.yale.edu/~vision/zucker/steve.html,rNTIQXYAAAAJ,0000-0000-0000-0000
