name,affiliation,homepage,scholarid,orcid
Y. Richard Yang,Yale University,http://www.cs.yale.edu/~yry,AQ6AppgAAAAJ,0000-0000-0000-0000
Yajin Zhou,Zhejiang University,http://yajin.org,N1oeOPwAAAAJ,0000-0001-7610-4736
Yang Cai 0001,Yale University,https://cpsc.yale.edu/people/yang-cai,HMa4vcYAAAAJ,0000-0002-5426-1324
Yang Richard Yang,Yale University,http://www.cs.yale.edu/~yry,AQ6AppgAAAAJ,0000-0000-0000-0000
Yang Xiang,Zhejiang University,http://mypage.zju.edu.cn/yxiang,NOSCHOLARPAGE,0009-0003-5991-4739
Yang Yang 0009,Zhejiang University,http://yangy.org,NOSCHOLARPAGE,0000-0002-5058-4417
Yanlin Weng,Zhejiang University,http://www.cs.zju.edu.cn/chinese/redir.php?catalog_id=22284&object_id=116229,NOSCHOLARPAGE,0000-0001-5223-4253
Yao Min,Zhejiang University,http://mypage.zju.edu.cn/myao,NOSCHOLARPAGE,0000-0000-0000-0000
Yi Gao 0001,Zhejiang University,http://mypage.zju.edu.cn/gaoyi,oyKWoTkAAAAJ,0000-0001-7897-5965
Yi Yang 0001,Zhejiang University,https://person.zju.edu.cn/yiyang,RMSuNFwAAAAJ,0000-0000-0000-0000
Yilun Zhao 0001,Zhejiang University,https://yilunzhao.com,NOSCHOLARPAGE,0000-0000-0000-0000
Ying Wei 0001,Zhejiang University,https://wei-ying.net,5UpFdKsAAAAJ,0000-0003-1662-4443
Yingcai Wu,Zhejiang University,http://www.ycwu.org,2eQFlqsAAAAJ,0000-0002-1119-3237
Yingjie Xia,Zhejiang University,http://mypage.zju.edu.cn/xiayingjie,lWN9EjkAAAAJ,0000-0000-0000-0000
Yong Liu 0007,Zhejiang University,https://person.zju.edu.cn/en/yongliu#924823,qYcgBbEAAAAJ,0009-0000-8133-5686
Yong-chuan Tang,Zhejiang University,http://mypage.zju.edu.cn/yongchuan,NOSCHOLARPAGE,0000-0000-0000-0000
Yongchuan Tang,Zhejiang University,http://mypage.zju.edu.cn/yongchuan,NOSCHOLARPAGE,0000-0000-0000-0000
Yongshan Ding 0001,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/yongshan-ding,pIFh3c0AAAAJ,0000-0002-2338-1315
Yongwang Zhao,Zhejiang University,https://person.zju.edu.cn/zhaoyw,NOSCHOLARPAGE,0000-0002-2284-1383
Youyi Zheng,Zhejiang University,http://www.cad.zju.edu.cn/home/zyy/index.html,7gA-o6gAAAAJ,0000-0002-9120-9592
Yu Li 0007,Zhejiang University,http://liyu.one,M0zhrM8AAAAJ,0000-0000-0000-0000
Yubo Tao,Zhejiang University,http://www.cad.zju.edu.cn/home/ybtao,NOSCHOLARPAGE,0000-0002-2283-6437
Yuchen Mao 0001,Zhejiang University,https://person.zju.edu.cn/maoyc,igtemMUAAAAJ,0000-0002-1075-344X
Yueting Zhuang,Zhejiang University,http://mypage.zju.edu.cn/0089133,1RD7UJAAAAAJ,0000-0000-0000-0000
Yunhe Pan,Zhejiang University,http://mypage.zju.edu.cn/panyunhe,NOSCHOLARPAGE,0000-0000-0000-0000
Yunjun Gao,Zhejiang University,http://mypage.zju.edu.cn/gaoyj_cn,NOSCHOLARPAGE,0000-0003-3816-8450
