name,affiliation,homepage,scholarid,orcid
Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,0000-0002-2409-4668
Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,0000-0003-2742-2679
Abraham Silberschatz,Yale University,http://www.cs.yale.edu/~avi,-YvgZDEAAAAJ,0000-0000-0000-0000
Aikaterini A. Sotiraki,Yale University,https://sotiraki.com,FlLj9gIAAAAJ,0009-0002-5372-4849
Alex Wong 0001,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/alex-wong,9_XuM8AAAAJ,0000-0002-3157-6016
Alexander K. Lew,Yale University,https://engineering.yale.edu/research-and-faculty/faculty-directory/alex-lew,TiF1WEsAAAAJ,0000-0000-0000-0000
Amin Karbasi,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/amin-karbasi,VusVB38AAAAJ,0000-0000-0000-0000
Andre Wibisono,Yale University,http://www.cs.yale.edu/homes/wibisono,Py_StfUAAAAJ,0000-0000-0000-0000
Anurag Khandelwal,Yale University,http://anuragkhandelwal.com,LlfHFqUAAAAJ,0000-0002-2199-6391
Arman Cohan,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/arman-cohan,baI7IY0AAAAJ,0000-0002-8954-2724
Avi Silberschatz,Yale University,http://www.cs.yale.edu/~avi,-YvgZDEAAAAJ,0000-0000-0000-0000
Baogang Wei,Zhejiang University,http://mypage.zju.edu.cn/wbg,NOSCHOLARPAGE,0000-0000-0000-0000
Ben A. Fisch,Yale University,https://cpsc.yale.edu/people/ben-fisch,oADIQ9YAAAAJ,0009-0007-1154-2277
Ben Fisch,Yale University,https://cpsc.yale.edu/people/ben-fisch,oADIQ9YAAAAJ,0009-0007-1154-2277
Bingsheng Zhang,Zhejiang University,https://person.zju.edu.cn/en/bingsheng,QnOeC4IAAAAJ,0000-0002-2320-9582
Bohan Zhuang,Zhejiang University,https://bohanzhuang.github.io,DFuDBBwAAAAJ,0000-0002-0074-0303
Brian Scassellati,Yale University,http://www.cs.yale.edu/~scaz,0jSdqoEAAAAJ,0000-0002-7671-7759
Charalampos Papamanthou,Yale University,https://www.cs.yale.edu/homes/cpap,4k0lzWwAAAAJ,0000-0002-1905-9403
Cheng Zhuo,Zhejiang University,https://person.zju.edu.cn/en/chengzhuo,-XSbEFAAAAAJ,0000-0002-2610-7522
Chun Chen 0001,Zhejiang University,http://mypage.zju.edu.cn/chenc,NOSCHOLARPAGE,0000-0002-6198-7481
Chun-Ming Wu 0001,Zhejiang University,http://mypage.zju.edu.cn/0095168,NOSCHOLARPAGE,0000-0001-7958-9687
Chunhua Shen,Zhejiang University,https://cshen.github.io,Ljk2BvIAAAAJ,0000-0002-8648-8718
Chunming Wu 0001,Zhejiang University,http://mypage.zju.edu.cn/0095168,NOSCHOLARPAGE,0000-0001-7958-9687
Congfu Xu,Zhejiang University,http://www.cs.zju.edu.cn/people/xucf,NOSCHOLARPAGE,0000-0001-8758-7948
Daniel A. Spielman,Yale University,http://www.cs.yale.edu/homes/spielman,L82mYv8AAAAJ,0000-0002-8958-879X
Daniel Rakita,Yale University,https://cpsc.yale.edu/people/daniel-rakita,1Y-cnCUAAAAJ,0000-0000-0000-0000
David Gelernter,Yale University,http://cpsc.yale.edu/people/david-gelernter,NOSCHOLARPAGE,0000-0000-0000-0000
Dawei Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangdw,NOSCHOLARPAGE,0009-0001-2807-1068
Deng Cai 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/dengcai,vzxDyJoAAAAJ,0000-0001-9817-4065
Deren Chen,Zhejiang University,http://mypage.zju.edu.cn/0073012,NOSCHOLARPAGE,0000-0000-0000-0000
Deshi Ye,Zhejiang University,https://person.zju.edu.cn/en/dye,NOSCHOLARPAGE,0000-0000-0000-0000
Donghui Wang,Zhejiang University,http://mypage.zju.edu.cn/wdh,AkRWtMUAAAAJ,0000-0000-0000-0000
Dongming Lu,Zhejiang University,http://mypage.zju.edu.cn/ldm,NOSCHOLARPAGE,0000-0000-0000-0000
Drew McDermott,Yale University,http://www.cs.yale.edu/~dvm,NOSCHOLARPAGE,0000-0000-0000-0000
Drew V. McDermott,Yale University,http://www.cs.yale.edu/~dvm,NOSCHOLARPAGE,0000-0000-0000-0000
Duanqing Xu,Zhejiang University,http://mypage.zju.edu.cn/0092050,NOSCHOLARPAGE,0000-0001-5311-3728
Emmanouil Zampetakis,Yale University,https://mzampet.com,tBAp1-gAAAAJ,0009-0005-4967-5927
Fan Zhang 0010,Zhejiang University,http://www.zjuisee.zju.edu.cn/fanzhang/site_en/index.htm,o7DuSwsAAAAJ,0000-0001-6087-8243
Fan Zhang 0022,Yale University,https://www.fanzhang.me,YTokrfkAAAAJ,0000-0002-8525-4514
Fangtian Ying,Zhejiang University,http://mypage.zju.edu.cn/0094123,NOSCHOLARPAGE,0000-0001-9047-0257
Fei Wu 0001,Zhejiang University,http://mypage.zju.edu.cn/wufei,XJLn4MYAAAAJ,0000-0003-2139-8807
Feng Lin 0004,Zhejiang University,https://person.zju.edu.cn/person/flin,gyBxQOAAAAAJ,0000-0001-5240-5200
Gang Chen 0001,Zhejiang University,http://mypage.zju.edu.cn/0098112,NOSCHOLARPAGE,0000-0002-7483-0045
Gang Pan 0001,Zhejiang University,http://www.cs.zju.edu.cn/~gpan,NWqnXNEAAAAJ,0000-0000-0000-0000
Guanyun Wang,Zhejiang University,https://design.zju.edu.cn/guanyunlab,WcwWh24AAAAJ,0000-0002-7904-1504
Guochuan Zhang,Zhejiang University,https://person.zju.edu.cn/0096209,82yU330AAAAJ,0000-0003-1947-7872
Guofeng Zhang 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/gfzhang,F0xfpXAAAAAJ,0000-0001-5661-8430
Hai Lin 0003,Zhejiang University,http://mypage.zju.edu.cn/0090040,NOSCHOLARPAGE,0000-0002-1682-8465
Haifeng Liu 0001,Zhejiang University,http://mypage.zju.edu.cn/hfliu,oW108fUAAAAJ,0000-0000-0000-0000
Holly E. Rushmeier,Yale University,http://graphics.cs.yale.edu/holly,saY3qN5NWbcC,0000-0001-5241-0886
Hongzhi Wu,Zhejiang University,http://www.cad.zju.edu.cn/home/hwu,NOSCHOLARPAGE,0000-0002-4404-2275
Huajun Chen,Zhejiang University,http://mypage.zju.edu.cn/huajun,NOSCHOLARPAGE,0000-0001-5496-7442
Huan Li 0003,Zhejiang University,https://mypage.zju.edu.cn/en/lihuan,fZoYJz8AAAAJ,0000-0003-0084-1662
Hui Qian 0001,Zhejiang University,http://mypage.zju.edu.cn/qianhui,NOSCHOLARPAGE,0000-0003-0293-2656
Hujun Bao,Zhejiang University,http://www.cad.zju.edu.cn/home/bao,NOSCHOLARPAGE,0000-0002-2662-0334
Jakub Szefer,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/jakub-szefer,NO1Je2kAAAAJ,0000-0001-9721-3640
James Aspnes,Yale University,http://www.cs.yale.edu/homes/aspnes,1HYDaVIAAAAJ,0000-0001-6188-1663
Jiajun Bu,Zhejiang University,http://mypage.zju.edu.cn/bjj,OgZP2okAAAAJ,0000-0002-1097-2044
Jian Liu 0012,Zhejiang University,https://person.zju.edu.cn/0019840,-T_UNHwAAAAJ,0000-0001-6796-6828
Jian Wu 0001,Zhejiang University,http://mypage.zju.edu.cn/0004274,VO9XIXYAAAAJ,0000-0002-3230-6392
Jian-Ling Sun,Zhejiang University,https://person.zju.edu.cn/en/sunjl,NOSCHOLARPAGE,0000-0000-0000-0000
Jianke Zhu,Zhejiang University,http://mypage.zju.edu.cn/jkzhu,SC-WmzwAAAAJ,0000-0003-1831-0106
Jianling Sun,Zhejiang University,https://person.zju.edu.cn/en/sunjl,NOSCHOLARPAGE,0000-0001-8799-6020
Jianwei Yin,Zhejiang University,http://mypage.zju.edu.cn/0001038,0s1A5fwAAAAJ,0000-0003-4703-7348
Jin Huang 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/hj/index.xml,KLgK108AAAAJ,0000-0002-2549-6810
Jinfei Liu,Zhejiang University,https://person.zju.edu.cn/0020162,kqAPqYAAAAAJ,0000-0003-2921-2827
Jinsong Han,Zhejiang University,https://person.zju.edu.cn/hanjinsong,BST50KwAAAAJ,0000-0003-1832-2641
Joan Feigenbaum,Yale University,http://www.cs.yale.edu/~jf,IAeKTGsAAAAJ,0000-0002-3735-6022
John D. Lafferty,Yale University,https://statistics.yale.edu/people/john-lafferty,NOSCHOLARPAGE,0000-0000-0000-0000
John Lafferty,Yale University,https://statistics.yale.edu/people/john-lafferty,NOSCHOLARPAGE,0000-0000-0000-0000
Julie Dorsey,Yale University,http://graphics.cs.yale.edu/julie,IYXVU-QAAAAJ,0000-0003-2495-4979
Jun Xiao 0001,Zhejiang University,http://mypage.zju.edu.cn/junx,fqOwFhQAAAAJ,0000-0000-0000-0000
Kai Bu,Zhejiang University,http://mypage.zju.edu.cn/kaibu,cmcMPx4AAAAJ,0000-0000-0000-0000
Katerina Sotiraki,Yale University,https://sotiraki.com,FlLj9gIAAAAJ,0009-0002-5372-4849
Ke Chen 0005,Zhejiang University,http://mypage.zju.edu.cn/kechenpage,NOSCHOLARPAGE,0000-0002-3062-0900
Ke-jun Zhang,Zhejiang University,http://mypage.zju.edu.cn/en/zhangkejun,NOSCHOLARPAGE,0000-0000-0000-0000
Kejun Zhang,Zhejiang University,http://mypage.zju.edu.cn/en/zhangkejun,NOSCHOLARPAGE,0000-0002-0778-2303
Kui Ren 0001,Zhejiang University,https://person.zju.edu.cn/kuiren,uuQA_rcAAAAJ,0000-0003-3441-6277
Kun Zhou 0001,Zhejiang University,http://mypage.zju.edu.cn/kunzhou,N-iYby0AAAAJ,0000-0003-4243-6112
Leandros Tassiulas,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/leandros-tassiulas,9qtgcZ8AAAAJ,0000-0000-0000-0000
Lei Wu 0012,Zhejiang University,https://person.zju.edu.cn/lei_wu,xOVpf1sAAAAJ,0000-0003-1675-5283
Li Lu 0008,Zhejiang University,https://person.zju.edu.cn/lynnluli,mQSqGYAAAAAJ,0000-0001-5230-3749
Lidan Shou,Zhejiang University,http://mypage.zju.edu.cn/should,0OlITuIAAAAJ,0000-0001-8062-8356
Lin Chen 0009,Zhejiang University,https://person.zju.edu.cn/0024110,a0DapS0AAAAJ,0000-0003-3909-4916
Lin Zhong 0001,Yale University,https://cpsc.yale.edu/people/lin-zhong,hJPN-G8AAAAJ,0000-0003-0840-167X
Linchao Zhu,Zhejiang University,https://person.zju.edu.cn/en/linchao,9ZukE28AAAAJ,0000-0002-4093-7557
Ling Chen 0001,Zhejiang University,http://mypage.zju.edu.cn/lc,Vxi9eakAAAAJ,0000-0003-1934-5992
Lingfeng Bao,Zhejiang University,https://baolingfeng.github.io,RMJI97QAAAAJ,0000-0003-1846-0921
Lingyun Sun,Zhejiang University,http://mypage.zju.edu.cn/sly,zzW8d-wAAAAJ,0000-0002-5561-0493
Liqiang Lu,Zhejiang University,http://person.zju.edu.cn/liqianglu,wvpFjh0AAAAJ,0000-0002-3801-6847
Lu Chen 0001,Zhejiang University,https://person.zju.edu.cn/luchen,gLOpEaIAAAAJ,0000-0002-5685-7017
Manolis Zampetakis,Yale University,https://mzampet.com,tBAp1-gAAAAJ,0009-0005-4967-5927
Marynel Vázquez,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/marynel-vazquez,-wm8urcAAAAJ,0000-0000-0000-0000
Michael J. Fischer,Yale University,http://www.cs.yale.edu/~fischer,mnq4vRgAAAAJ,0000-0000-0000-0000
Min Tang 0001,Zhejiang University,http://give.zju.edu.cn/memberHomepage/TangMin.html,E1RM9OUAAAAJ,0009-0006-0493-3459
Min Yao,Zhejiang University,http://mypage.zju.edu.cn/myao,NOSCHOLARPAGE,0000-0000-0000-0000
Ming-Min Zhang,Zhejiang University,http://mypage.zju.edu.cn/0095045,NOSCHOLARPAGE,0000-0000-0000-0000
Ming-min Zhang,Zhejiang University,http://mypage.zju.edu.cn/0095045,NOSCHOLARPAGE,0000-0000-0000-0000
Mingli Song,Zhejiang University,http://mypage.zju.edu.cn/msong,7oLbhAwAAAAJ,0000-0003-2621-6048
Mingmin Zhang,Zhejiang University,http://mypage.zju.edu.cn/0095045,NOSCHOLARPAGE,0000-0000-0000-0000
Mingshuai Chen,Zhejiang University,https://fiction-zju.github.io/author/mingshuai-chen,n7odC-EAAAAJ,0000-0001-9663-7441
Mingxue Zhang 0001,Zhejiang University,https://zhangmx1997.github.io,73M-epsAAAAJ,0000-0001-8863-8751
Nicole Immorlica,Yale University,https://engineering.yale.edu/academic-study/departments/computer-science/people/nicole-immorlica,_1hCq3UAAAAJ,0000-0003-4180-4657
Ningyu Zhang 0001,Zhejiang University,https://person.zju.edu.cn/en/ningyu,xQDOPvsAAAAJ,0000-0002-1970-0678
Nisheeth K. Vishnoi,Yale University,https://cpsc.yale.edu/people/nisheeth-vishnoi,7b5tlJkAAAAJ,0000-0002-0255-1119
Peisen Yao,Zhejiang University,https://rainoftime.github.io,ijXQzv8AAAAJ,0000-0003-0342-9518
Qiming Hou,Zhejiang University,http://www.houqiming.net,NOSCHOLARPAGE,0009-0004-4177-4704
Qinming He,Zhejiang University,http://mypage.zju.edu.cn/0088262,NOSCHOLARPAGE,0000-0001-5147-7253
Quanquan C. Liu,Yale University,https://quanquancliu.com,y1u15RcAAAAJ,0000-0003-1230-2754
Rajit Manohar,Yale University,http://csl.yale.edu/~rajit,xpiTjY0AAAAJ,0000-0001-8211-6602
Rex Ying,Yale University,https://cpsc.yale.edu/people/zhitao-ying,6fqNXooAAAAJ,0000-0000-0000-0000
