alias,name
Abraham Silberschatz,Avi Silberschatz
Aikaterini A. Sotiraki,Katerina Sotiraki
Ben A. Fisch,Ben Fisch
Chun-Ming Wu 0001,Chunming Wu 0001
Drew V. McDermott,Drew McDermott
Emmanouil Zampetakis,Manolis Zampetakis
Jian-Ling Sun,Jianling Sun
John Lafferty,John D. Lafferty
Ke-jun Zhang,Kejun Zhang
Ming-min Zhang,Mingmin Zhang
Ming-Min Zhang,Mingmin Zhang
Sahand N. Negahban,Sahand Negahban
ShuiGuang Deng,Shuiguang Deng
Wei-ming Lu 0001,Weiming Lu 0001
Xiao-hong Jiang,Xiaohong Jiang
Xiao-Hong Jiang,Xiaohong Jiang
Y. Richard Yang,Yang Richard Yang
Yao Min,Min Yao
Yong-chuan Tang,Yongchuan Tang
Zhitao Ying,Rex Ying
