name,dept,area,count,adjustedcount,year
Aaron M. Dollar,Yale University,icra,1.0,0.5,2007
Aaron M. Dollar,Yale University,icra,6.0,2.6667,2011
Aaron M. Dollar,Yale University,icra,2.0,0.83333,2012
Aaron M. Dollar,Yale University,icra,4.0,1.5,2013
Aaron M. Dollar,Yale University,icra,2.0,0.58333,2014
Aaron M. Dollar,Yale University,icra,3.0,0.75,2015
Aaron M. Dollar,Yale University,icra,2.0,0.75,2016
Aaron M. Dollar,Yale University,icra,4.0,1.5,2017
Aaron M. Dollar,Yale University,icra,2.0,0.75,2018
Aaron M. Dollar,Yale University,icra,5.0,1.8333,2019
Aaron M. Dollar,Yale University,icra,1.0,0.5,2020
Aaron M. Dollar,Yale University,icra,1.0,0.16667,2021
Aaron M. Dollar,Yale University,icra,2.0,0.58333,2023
Aaron M. Dollar,Yale University,icra,3.0,0.575,2024
Aaron M. Dollar,Yale University,icra,1.0,0.2,2025
Aaron M. Dollar,Yale University,iros,1.0,0.5,2003
Aaron M. Dollar,Yale University,iros,1.0,0.5,2008
Aaron M. Dollar,Yale University,iros,1.0,0.5,2010
Aaron M. Dollar,Yale University,iros,3.0,1.5,2011
Aaron M. Dollar,Yale University,iros,3.0,1.0833,2012
Aaron M. Dollar,Yale University,iros,4.0,1.6667,2014
Aaron M. Dollar,Yale University,iros,2.0,0.58333,2015
Aaron M. Dollar,Yale University,iros,2.0,1.0,2016
Aaron M. Dollar,Yale University,iros,4.0,2.0,2017
Aaron M. Dollar,Yale University,iros,1.0,0.25,2019
Aaron M. Dollar,Yale University,iros,1.0,0.33333,2020
Aaron M. Dollar,Yale University,iros,1.0,0.5,2021
Aaron M. Dollar,Yale University,iros,1.0,0.2,2023
Aaron M. Dollar,Yale University,iros,1.0,0.2,2024
Aaron M. Dollar,Yale University,iros,2.0,0.45,2025
Aaron M. Dollar,Yale University,rss,1.0,0.5,2010
Aaron M. Dollar,Yale University,rss,1.0,0.16667,2021
Abhishek Bhattacharjee,Yale University,asplos,1.0,0.5,2010
